¿Cuál es el rango normal del pH arterial en un adulto?,El rango normal es de $7.35$ a $7.45$.
¿Cuál es el valor normal de la $PaCO_2$ en una gasometría arterial?,El valor normal es de $35$ a $45$ $mmHg$.
¿Cuál es el rango normal del bicarbonato ($HCO_3^-$) en el adulto?,El rango normal es de $22$ a $26$ $mEq/L$.
¿Cuál es el valor normal de la $PaO_2$ con una $FiO_2$ al $21$ %?,El valor normal es de $80$ a $100$ $mmHg$.
"¿Qué parámetro gasométrico indica el ""Exceso de Base"" global del medio interno?","El parámetro es el $EB$ o $BE$, con valor normal de $-2$ a $+2$ $mEq/L$."
"Si el pH es menor a $7.35$, el estado ácido-base se define como _____.",Acidemia
"Si el pH es mayor a $7.45$, el estado ácido-base se define como _____.",Alcalemia
¿Cómo se comporta la $PaCO_2$ respecto al pH en un trastorno respiratorio primario?,Se mueve en sentido inverso al pH.
¿Cómo se comporta el $HCO_3^-$ respecto al pH en un trastorno metabólico primario?,Se mueve en el mismo sentido que el pH.
¿Qué trastorno primario se sospecha si hay acidemia y la $PaCO_2$ está elevada?,Acidosis respiratoria.
¿Qué trastorno primario se sospecha si hay acidemia y el $HCO_3^-$ está disminuido?,Acidosis metabólica.
¿Qué trastorno primario se sospecha si hay alcalemia y la $PaCO_2$ está disminuida?,Alcalosis respiratoria.
¿Qué trastorno primario se sospecha si hay alcalemia y el $HCO_3^-$ está aumentado?,Alcalosis metabólica.
¿Cuál es la fórmula de Winter para calcular la $PaCO_2$ esperada en la acidosis metabólica?,$PaCO_2 = 1.5 \times HCO_3^- + 8 \pm 2$
¿Cómo se calcula la compensación de la $PaCO_2$ en una alcalosis metabólica?,$\% \Delta PaCO_2 \approx 0.6 \times \Delta HCO_3^-$
"En la acidosis respiratoria aguda, ¿cuánto aumenta el $HCO_3^-$ por cada $+10$ $mmHg$ de $PaCO_2$?",Aumenta $+1$ $mEq/L$.
"En la acidosis respiratoria crónica, ¿cuánto aumenta el $HCO_3^-$ por cada $+10$ $mmHg$ de $PaCO_2$?",Aumenta de $+3$ a $+3.5$ $mEq/L$.
"En la alcalosis respiratoria aguda, ¿cuánto disminuye el $HCO_3^-$ por cada $-10$ $mmHg$ de $PaCO_2$?",Disminuye $-2$ $mEq/L$.
"En la alcalosis respiratoria crónica, ¿cuánto disminuye el $HCO_3^-$ por cada $-10$ $mmHg$ de $PaCO_2$?",Disminuye $-5$ $mEq/L$.
¿Cuánto disminuye el pH por cada $+10$ de $PaCO_2$ en una acidosis respiratoria aguda?,Disminuye $0.08$.
¿Cuánto disminuye el pH por cada $+10$ de $PaCO_2$ en una acidosis respiratoria crónica?,Disminuye $0.03$.
¿Cuánto tiempo debe transcurrir para considerar un trastorno respiratorio como crónico?,Debe transcurrir un tiempo mayor o igual a $48$ horas.
¿Cuál es la causa más frecuente de hipercalcemia en la población general?,El hiperparatiroidismo primario.
¿Cuál es la causa etiológica principal del hiperparatiroidismo primario en el $80$-$85$ % de los casos?,Un adenoma único paratiroideo.
¿Cuáles son los síntomas gastrointestinales comunes de la hipercalcemia leve?,"Estreñimiento, anorexia, náuseas, vómito y dolor abdominal."
¿Qué alteración en el intervalo del EKG se asocia a la hipercalcemia grave?,Acortamiento del intervalo $QTc$.
¿A partir de qué nivel de calcio sérico se debe sospechar de una etiología por malignidad?,Calcio mayor a $14$ $mg/dL$.
¿Cuál es el tratamiento inicial para disminuir los niveles de calcio en una crisis aguda?,Administración de líquidos intravenosos para aumentar el volumen.
¿En qué pacientes con hiperparatiroidismo primario se indica el tratamiento quirúrgico?,En pacientes sintomáticos o con calcio sérico $>1$ $mg/dL$ sobre el límite normal.
¿Qué alteraciones bioquímicas caracterizan al hipoparatiroidismo?,Hipocalcemia asociada a hiperfosfatemia.
¿Cuál es la causa más común de hipoparatiroidismo?,La extirpación quirúrgica de las glándulas paratiroides.
¿En qué consiste el signo de Chvostek?,Contracción de los músculos faciales al golpear el nervio facial.
¿En qué consiste el signo de Trousseau?,Espasmo carpopedal tras inflar el manguito del esfigmomanómetro.
¿Cuáles son los síntomas neurológicos graves que puede causar la hipocalcemia?,"Tetania, laringoespasmo o convulsiones generalizadas."
¿Cuál es el parámetro de laboratorio de elección para el diagnóstico de hipoparatiroidismo?,La medición del calcio ionizado.
¿Cuál es el tratamiento de urgencia para un paciente con tetania por hipocalcemia?,Gluconato de calcio intravenoso.
¿Qué tratamiento se indica para el manejo de la hipocalcemia crónica?,Calcio y Vitamina D por vía oral.
¿A qué alteración hormonal se debe la acromegalia?,A un aumento de la secreción de hormona somatotropa (hormona del crecimiento).
¿Cuál es la causa más frecuente de acromegalia?,Adenomas hipofisarios.
¿A qué edad promedio suele presentarse la acromegalia?,Entre los $40$ y $45$ años.
¿Qué hallazgo físico se refiere al crecimiento excesivo de la mandíbula en la acromegalia?,Prognatismo
¿Qué complicación respiratoria se asocia a la macroglosia en pacientes acromegálicos?,Síndrome de Apnea Obstructiva del Sueño (SAOS).
¿Qué defecto visual es característico de un macroadenoma hipofisario?,Hemianopsia bitemporal.
¿Cuál es el estudio diagnóstico inicial de elección en la sospecha de acromegalia?,Medición del factor de crecimiento similar a la insulina tipo 1 ($IGF-1$).
¿Cuál es la prueba confirmatoria para el diagnóstico de acromegalia?,Prueba de supresión de hormona del crecimiento con glucosa oral.
¿Qué fármaco análogo de la somatostatina se utiliza para el tratamiento sintomático de la acromegalia?,Octreótide
¿Qué efecto secundario biliar es común con el uso prolongado de octreótide?,Litiasis vesicular.
¿Cuál es el tratamiento quirúrgico de elección para el adenoma hipofisario en acromegalia?,Cirugía transesfenoidal.
"En trastornos metabólicos, el pH y el $HCO_3^-$ se mueven en _____ dirección.",la misma
"En trastornos respiratorios, el pH y la $PaCO_2$ se mueven en direcciones _____.",opuestas
¿Cuál es la presentación clínica más común del hiperparatiroidismo primario?,Asintomático o con hipercalcemia leve.
¿Qué síntoma cutáneo/sensorial es el más frecuente en el hipoparatiroidismo postoperatorio?,Parestesias en espalda y piernas.
¿Cómo se encuentra la excitabilidad neuromuscular en un paciente con hipoparatiroidismo?,Se encuentra aumentada debido a la hipocalcemia.
"La tríada bioquímica del hipoparatiroidismo es: hipocalcemia, hiperfosfatemia y niveles _____ de paratohormona.",bajos (o deficientes)
El signo de _____ se busca percutiendo el nervio facial por delante del conducto auditivo externo.,Chvostek