¿Cuál es el agente etiológico de la Fiebre Reumática?,Estreptococo beta hemolítico del grupo A (EBHGA) o $S. pyogenes$.
La Fiebre Reumática es la causa más frecuente de _____ y doble lesión mitral.,estenosis mitral
¿En qué rango de edad suele aparecer la Fiebre Reumática tras una infección faríngea?,Entre los 2 y 5 años de edad.
"Mnemotecnia ""CANCER"" para Criterios Mayores de Jones: C (Carditis), A (Artritis), N (Nódulos subcutáneos), C (Corea de Sydenham) y _____.",Eritema marginado
"Mnemotecnia ""FIERA"" para Criterios Menores de Jones: F (Fiebre), I (Intervalo PR prolongado), E (Enfermedad cardíaca reumática previa), R (Reactantes de fase aguda) y _____.",Artralgias
¿Cuál es el requisito para establecer el diagnóstico clínico de Fiebre Reumática según los criterios de Jones?,Al menos dos criterios mayores o uno mayor y dos menores.
¿Qué estudio de imagen confirma el diagnóstico de carditis en Fiebre Reumática?,Ecocardiograma.
¿Cuál es la manifestación clínica más habitual (75%) de la Fiebre Reumática?,Artritis (poliartritis migratoria).
Signo clínico de la Corea de Sydenham caracterizado por movimientos irregulares al apretar las manos del explorador:,Signo de la lechera.
¿Cuál es el antibiótico de elección para el tratamiento de Fiebre Reumática?,Penicilina.
¿Qué fármaco se administra en pacientes con Fiebre Reumática alérgicos a la penicilina?,Eritromicina.
¿Cuál es el antiinflamatorio más empleado para la artritis en Fiebre Reumática?,Ácido acetilsalicílico (Aspirina).
¿Cuál es el tratamiento de elección para el control de la carditis en Fiebre Reumática?,Prednisona.
¿Cuánto tiempo debe durar la profilaxis con penicilina benzatina en un paciente con Fiebre Reumática sin afectación cardíaca?,5 años tras el último episodio o hasta cumplir los 18 años.
¿Cuál es la causa más común de Pericarditis Aguda para términos del examen ENARM?,Virus Coxsackie A y B.
¿Qué maniobra postural disminuye el dolor torácico en la Pericarditis Aguda?,Inclinarse hacia adelante.
¿Qué hallazgo característico se observa en la radiografía de tórax de un paciente con derrame pericárdico importante?,Corazón en forma de garrafa (o cantimplora).
"En el EKG de la Pericarditis Aguda, se observa una elevación difusa del segmento ST con morfología _____.",cóncava
¿Cuál es el cambio en el intervalo PR característico de la Pericarditis Aguda en el EKG?,Descenso del intervalo PR.
¿Cuál es el tratamiento inicial para el primer brote de Pericarditis Aguda?,AINES (como Ibuprofeno).
¿Qué fármaco se agrega al tratamiento de Pericarditis Aguda en caso de gravedad o recurrencia?,Colchicina.
¿Cuál es el agente infeccioso viral más frecuentemente asociado a la Miocarditis?,Virus Coxsackie B.
¿Cuál es el método más usado para establecer el diagnóstico definitivo de Miocarditis?,Biopsia endomiocárdica.
¿Cómo se denominan los criterios histológicos utilizados para el diagnóstico de Miocarditis?,Criterios de Dallas.
¿Qué sospecha diagnóstica se debe tener ante una muerte súbita en atletas jóvenes previamente sanos?,Miocarditis (o miocardiopatía hipertrófica).
¿Cuál es la lesión anatomopatológica más característica de la Endocarditis Infecciosa?,Vegetaciones.
¿Cuál es el microorganismo de mayor incidencia global en la Endocarditis Infecciosa?,Staphylococcus aureus.
¿Qué agente etiológico se asocia a Endocarditis Infecciosa en pacientes con cáncer de colon?,Streptococcus bovis.
¿Cuál es el microorganismo más frecuente en Endocarditis sobre prótesis valvular temprana (antes de 12 meses)?,Staphylococcus epidermidis.
Las máculas hemorrágicas no dolorosas en palmas y plantas por fenómenos embólicos en la Endocarditis se llaman _____.,Lesiones de Janeway
Las hemorragias retinianas con centro pálido por fenómenos inmunológicos en la Endocarditis se llaman _____.,Manchas de Roth
¿Cuál es el mejor método diagnóstico para identificar el microorganismo causal en la Endocarditis Infecciosa?,Hemocultivo central.
¿Qué estudio diagnóstico tiene mayor sensibilidad para identificar vegetaciones en Endocarditis?,Ecocardiograma transesofágico.
¿Cuál es el esquema antibiótico empírico para Endocarditis en válvula nativa?,Ampicilina + Aminoglucósido.
¿Qué triple terapia antibiótica se recomienda para Endocarditis en válvula protésica precoz?,Vancomicina + Aminoglucósido + Rifampicina.
¿Cuál es la complicación más frecuente que indica tratamiento quirúrgico en la Endocarditis Infecciosa?,Insuficiencia cardíaca congestiva por rotura valvular.
¿Qué enzima escinde el angiotensinógeno para convertirlo en angiotensina I?,Renina.
¿En qué órgano se localiza principalmente la Enzima Convertidora de Angiotensina (ECA)?,Pulmón (aproximadamente 70%).
¿Qué efecto tiene la Aldosterona sobre el potasio ($K^{+}$) y los hidrogeniones ($H^{+}$)?,Promueve su excreción en la nefrona distal.
¿Cuál es el efecto hemodinámico directo de los IECA al disminuir la Angiotensina II y aumentar la bradicinina?,Vasodilatación y disminución de la resistencia periférica sistémica.
¿Cuál es el efecto adverso más común de los IECA relacionado con la acumulación de bradicinina?,Tos (o angioedema).
¿Cuál es la localización más frecuente de los tumores cardíacos primarios?,Aurícula izquierda.
¿Cuál es el tumor cardíaco primario benigno más frecuente en adultos?,Mixoma.
¿Qué tumor cardíaco suele afectar principalmente las válvulas (aórtica y mitral)?,Fibroelastoma papilar.
¿Cuál es el estudio inicial de elección ante la sospecha de un tumor cardíaco?,Ecocardiograma transtorácico.
¿Cuál es el sitio principal de hipertrofia en la Cardiomiopatía Hipertrófica?,Septum interventricular.
¿Qué sucede con la intensidad del soplo sistólico en la Cardiomiopatía Hipertrófica durante la maniobra de Valsalva?,Aumenta.
¿Qué agentes etiológicos se asocian clásicamente con la Cardiomiopatía Dilatada?,Alcoholismo y Enfermedad de Chagas.
¿Qué patología infiltrativa es la causa común de Cardiomiopatía Restrictiva en pacientes geriátricos?,Amiloideosis.
¿Qué signo clínico venoso es característico de la Cardiomiopatía Restrictiva?,Signo de Kussmaul.
¿Cuál es el evento fisiopatológico principal que inicia una Disección Aórtica?,Desgarro de la íntima.
¿Cuál es la localización anatómica más frecuente del desgarro en la Disección Aórtica?,Aorta ascendente (65%).
"Según la clasificación de Stanford, una disección que involucra la aorta ascendente es de tipo _____.",A
¿Cuál es el síntoma cardinal de la Disección Aórtica?,"Dolor súbito penetrante (transfictivo) en tórax, abdomen o espalda."
¿Qué hallazgo se busca en la radiografía de tórax inicial ante sospecha de Disección Aórtica?,Ensanchamiento del mediastino.
¿Cuál es el estudio de imagen confirmatorio (de elección por rapidez) para Disección Aórtica?,Angio-TAC.
¿Cuál es el estándar de oro (Gold Standard) para el diagnóstico de Disección Aórtica?,Ecocardiograma transesofágico.
¿Cuáles son las metas hemodinámicas de tensión arterial sistólica (TAS) y frecuencia cardíaca (FC) en la Disección Aórtica?,TAS $<$ 120 mmHg y FC $<$ 60 lpm.
¿En cuánto tiempo se deben lograr las metas hemodinámicas en una emergencia por Disección Aórtica?,20 minutos.
¿Qué combinación de fármacos antihipertensivos se utiliza típicamente en la fase aguda de la Disección Aórtica?,Esmolol (o Labetalol) + Nitroprusiato de sodio.