¿Qué término define a las oscilaciones rítmicas de una parte del cuerpo por contracciones musculares alternas?,Temblor.
El temblor que ocurre en ausencia de actividad muscular voluntaria se clasifica como temblor de _____.,reposo
¿Cómo se divide el temblor de acción según la contracción muscular voluntaria?,En temblor postural y temblor cinético.
¿Qué tipo de temblor aparece al mantener una posición específica contra la gravedad?,Temblor postural.
El temblor que interfiere con la realización de movimientos voluntarios precisos se denomina temblor _____.,cinético
¿Cuál es la característica clínica inicial del temblor en la enfermedad de Parkinson?,"Es un temblor de reposo, grosero, lento y habitualmente unilateral."
¿Qué patología se asocia típicamente con un temblor cinético que interfiere con el movimiento terminal?,Patología cerebelosa o del tronco encefálico.
¿Cuál es la fisiopatología del temblor fisiológico exacerbado?,Incremento de la actividad periférica $\beta$-adrenérgica por aumento de catecolaminas.
¿Qué fármacos son el tratamiento de elección para el temblor fisiológico exacerbado?,Betabloqueantes.
¿Cuál es el trastorno del movimiento más prevalente y de herencia autosómica dominante?,Temblor esencial benigno.
¿Qué sustancia suele disminuir la intensidad del temblor esencial benigno?,El alcohol.
¿Cuáles son los medicamentos de primera línea para el tratamiento del temblor esencial?,Propanolol o primidona.
¿Qué neurotransmisor se encuentra disminuido en la sustancia negra en la enfermedad de Parkinson?,Dopamina.
¿Cuál es el hallazgo histopatológico característico en el cerebro de pacientes con Parkinson?,Cuerpos de Lewy.
¿Qué mutaciones genéticas se asocian con la enfermedad de Parkinson?,Mutaciones en los genes $\text{PARK1}$ y $\text{PARK4}$.
¿Cuál es el factor de riesgo más importante para desarrollar Parkinson después de la edad?,Antecedente familiar.
La enfermedad de Parkinson es la _____ causa más frecuente de enfermedad degenerativa a nivel mundial.,segunda
¿Por qué se considera que las mujeres tienen cierta protección contra el Parkinson?,Por la presencia de estrógenos.
¿Cómo se describe el temblor típico de las manos en el paciente con Parkinson?,"Temblor en reposo con inicio en ""cuenta de monedas""."
¿Qué término médico describe la lentitud de movimientos característica del Parkinson?,Bradicinesia.
¿Cuál es el síntoma no motor (psicológico) más frecuente en la enfermedad de Parkinson?,Depresión.
¿Qué escala se utiliza para evaluar el grado de discapacidad en un paciente con Parkinson?,Clasificación de Hoehn y Yahr.
¿Cuál es el Gold Standard diagnóstico para la enfermedad de Parkinson?,Evaluación clínica sumada a los Criterios del Banco de Cerebros.
¿Cuál es el rango de frecuencia típico del temblor parkinsoniano?,$4-6\text{ Hz}$.
¿Qué fármacos se prefieren para pacientes jóvenes (menores de 65 años) con Parkinson leve?,"Inhibidores de la MAO-B (Selegilina, Rasagilina) o agonistas dopaminérgicos."
¿Cuál es el tratamiento de elección para el Parkinson en estadios moderados a graves?,Levodopa combinada con Carbidopa.
¿Cuál es la función de la Carbidopa cuando se administra con Levodopa?,Actuar como inhibidor de la dopa-descarboxilasa periférica.
¿Qué efecto secundario importante se asocia al tratamiento farmacológico crónico del Parkinson?,Síndromes psiquiátricos.
¿Cuál es el tratamiento quirúrgico de elección para el Parkinson?,Estimulación cerebral profunda del subnúcleo talámico bilateral.
¿En qué cromosoma se encuentra el defecto genético de la enfermedad de Huntington?,En el brazo corto del cromosoma 4.
¿Qué región anatómica del cerebro sufre atrofia característica en la enfermedad de Huntington?,El núcleo caudado.
"La tríada clínica de la enfermedad de Huntington incluye trastornos del movimiento, deterioro cognitivo y _____.",trastornos psiquiátricos
¿Cuál es el trastorno del movimiento más característico de la enfermedad de Huntington?,Corea.
¿Qué repetición de tripletes de nucleótidos se busca para el diagnóstico definitivo de Huntington?,Tripletes $\text{CAG}$.
¿Cuál es la causa más frecuente de muerte en pacientes con enfermedad de Huntington?,Neumonía e infecciones.
¿Qué hallazgo se observa típicamente en una TAC de un paciente con Huntington?,Atrofia de la cabeza del núcleo caudado.
¿Cuál es la primera causa de demencia a nivel mundial?,Enfermedad de Alzheimer.
¿Qué alelo de la apolipoproteína se considera un factor de riesgo para el Alzheimer?,Alelo $\text{E4}$.
¿Qué estructuras patológicas extracelulares se forman en el hipocampo en el Alzheimer?,Placas $\beta$-amiloides.
¿Qué proceso sufre la proteína Tau para formar ovillos neurofibrilares intracelulares?,Hiperfosforilación.
¿Cuál es el síntoma clínico inicial predominante en la enfermedad de Alzheimer?,Pérdida de memoria a corto plazo.
¿Qué puntaje en el Minimental State Evaluation (MMSE) es sugestivo de demencia?,Menor a $24$ puntos.
¿Cuál es el Gold Standard para el diagnóstico de la enfermedad de Alzheimer?,La autopsia (presencia de placas y ovillos).
Menciona los tres inhibidores de la acetilcolinesterasa usados en Alzheimer leve-moderado.,"Galantamina, Rivastigmina y Donepecilo."
¿Cuál es el mecanismo de acción de la Memantina?,Agonista parcial de los receptores $\text{NMDA}$.
¿Qué fármaco se utiliza como monoterapia en la enfermedad de Alzheimer grave?,Memantina.
¿Cuál es el tratamiento de elección para la psicosis con agitación aguda en Alzheimer?,Haloperidol.
¿Cómo se define la Esclerosis Lateral Amiotrófica (ELA)?,Trastorno neurodegenerativo progresivo de la motoneurona.
¿Cuál es la media de supervivencia tras el diagnóstico de ELA?,$3$ años.
¿Qué signos clínicos indican afectación de la primera motoneurona?,"Espasticidad, hiperreflexia y signo de Babinski."
¿Qué signos clínicos indican afectación de la segunda motoneurona?,"Debilidad, amiotrofia y fasciculaciones."
¿Cuál es el único fármaco disponible que modifica la progresión de la ELA?,Riluzol.
¿Qué enfermedad es la causa más frecuente de discapacidad neurológica en jóvenes?,Esclerosis Múltiple.
¿Cuál es el dato clínico de inicio más frecuente en la Esclerosis Múltiple?,Alteración de la sensibilidad (hipoestesia o parestesia).
¿Qué hallazgo en el LCR es característico de la Esclerosis Múltiple?,Bandas oligoclonales.
¿Cuál es el tratamiento de elección para un brote agudo de Esclerosis Múltiple?,Corticoides intravenosos por $3$ a $5$ días.
¿Cómo se define el Síndrome de Guillain-Barré?,Polirradiculoneuropatía aguda autoinmune desmielinizante.
¿Cuál es la causa más frecuente de parálisis flácida a nivel mundial?,Síndrome de Guillain-Barré.
¿Qué agente infeccioso se asocia con mayor frecuencia al inicio del Guillain-Barré?,$\textit{Campylobacter jejuni}$.
¿Cuál es el patrón característico de la debilidad muscular en el Guillain-Barré?,Simétrica y ascendente.
¿Qué hallazgo en el LCR define la disociación albúmino-citológica en Guillain-Barré?,Aumento de proteínas con recuento celular normal.
¿Cuál es la escala utilizada para evaluar la discapacidad funcional en Guillain-Barré?,Escala de Hughes.
¿Cuál es el tratamiento de primera línea para el Síndrome de Guillain-Barré?,Inmunoglobulina intravenosa ($2\text{ g/kg}$).
¿Qué componente de la unión neuromuscular es atacado en la Miastenia Gravis clásica?,Receptor nicotínico de acetilcolina.
¿Cuál es la característica principal de la debilidad muscular en la Miastenia Gravis?,Fluctuante: empeora con la actividad y mejora con el reposo.
¿Qué prueba de anticuerpos es el Gold Standard para diagnosticar Miastenia Gravis?,Anticuerpos antireceptor de acetilcolina.
¿Cuál es el fármaco anticolinesterásico de primera elección en Miastenia Gravis?,Piridostigmina.
¿Qué procedimiento quirúrgico puede mejorar el pronóstico de la Miastenia Gravis?,Timectomía.
¿Qué fármaco es útil para el tratamiento de la rigidez en rueda dentada del Parkinson?,Biperideno o Trihexifenidilo.
"En la Esclerosis Múltiple, las placas desmielinizantes crónicas presentan un infiltrado predominante de linfocitos _____.",$\text{CD8}$