¿Qué son las dermatofitosis?,Micosis superficiales causadas por hongos parásitos de la queratina.
¿Cuáles son los tres géneros principales de dermatofitos?,"Trichophyton, Microsporum y Epidermophyton."
¿Qué factores ambientales favorecen la aparición de dermatofitosis?,Humedad y calor.
¿Cuál es la dermatofitosis más común a nivel mundial?,Tiña capitis.
¿Qué porcentaje de las onicopatías corresponde a la onicomicosis?,Del 18% al 40%.
Agente causal más frecuente de la tiña capitis con lesión en escopetazo:,T. tonsurans.
Agente causal de la tiña capitis que suele presentarse como una lesión única:,M. canis.
¿Qué hallazgo clínico caracteriza a la tiña capitis?,Zonas de alopecia y costras.
¿Cuál es el estudio inicial para el diagnóstico de tiña capitis?,Estudio microscópico directo con hidróxido de potasio al 20%.
Tratamiento de primera elección para la tiña capitis:,Terbinafina.
Agentes causales frecuentes de la tiña de la barba (tiña barbae):,T. mentagrophytes o T. verrucosum.
Agente etiológico principal de la tiña corporis:,T. rubrum.
Descripción clínica de las lesiones en la tiña corporis:,Placas eritemato-escamosas con borde activo y crecimiento excéntrico.
Tratamiento de primera elección para la tiña corporis:,Terbinafina en crema.
Tratamiento de segunda elección para la tiña corporis:,Miconazol.
Agente etiológico principal de la tiña pedis (pie de atleta):,T. rubrum.
Tratamiento estándar de la onicomicosis:,Terbinafina 250 mg durante 16 semanas.
¿Qué es el Querión de Celso?,Forma inflamatoria de tiña capitis con pústulas y costras melicéricas.
¿Qué signo clínico es característico del Querión de Celso?,Signo de la espumadera.
Fisiopatología del Querión de Celso:,Reacción de hipersensibilidad por inmunidad celular.
Tratamiento adyuvante para disminuir la inflamación en el Querión de Celso:,Prednisona ($0.3-0.5$ mg/kg/día).
Agente causal del Favus:,T. schoenleinii.
Hallazgo clínico patognomónico del Favus:,Cazoleta fávica con costras amarillas (escútulas).
¿Qué es el granuloma tricofítico de Majocchi?,"Infección inflamatoria profunda en piel con pocos folículos, común tras depilación."
¿Qué virus causa el Herpes Zóster?,Virus de la Varicela-Zóster (Tipo 3).
¿Dónde permanece latente el virus del Herpes Zóster?,Ganglios de los nervios craneales y del neuroeje.
¿A qué edad se incrementa significativamente el riesgo de Herpes Zóster?,A los 40 años.
¿Cuál es la duración de la protección de la vacuna contra el Herpes Zóster?,3 años.
¿Qué caracteriza al Síndrome de Ramsay Hunt?,Afectación del ganglio geniculado con vesículas auriculares y parálisis facial.
Dermatoma más frecuentemente afectado por el Herpes Zóster:,Zona toracolumbar (T3-L2).
Manifestación cutánea del Herpes Zóster:,Exantema con vesículas y costras limitado al trayecto de un nervio.
Tiempo límite ideal para iniciar antivirales en Herpes Zóster:,Antes de las 72 horas de aparición del exantema.
Contraindicación para la vacuna de Herpes Zóster:,Pacientes inmunodeprimidos o embarazo.
Fármacos de primera línea para el dolor en neuropatía postherpética (paso 1):,Paracetamol 500-1000 mg cada 6-8 horas.
Agente causal más frecuente de pediculosis:,Pediculus capitis.
Localización predilecta de las liendres en la cabeza:,Región occipital y retroauricular.
Tratamiento tópico de primera línea para la pediculosis capitis:,Permetrina al 1%.
Dosis de ivermectina oral para infestaciones masivas de piojos:,200 $\mu$g/kg.
Agente bacteriano causante del acné:,Propionibacterium acnes.
Mecanismo patogénico del acné:,Obstrucción de glándulas sebáceas por queratinización anormal.
Lesión inicial y elemental del acné leve:,Comedones.
Lesiones características del acné moderado:,Pápulas y pústulas.
Complicación más común del acné:,Cicatrices.
Tratamiento tópico de elección para acné leve:,Tretinoína + peróxido de benzoilo.
Tratamiento sistémico de elección para acné moderado:,Tetraciclinas orales (Doxiciclina).
Tratamiento estándar de oro para el acné severo:,Isotretinoína oral.
Efecto adverso más común de la isotretinoína:,Xerosis cutaneomucosa.
Criterio de referencia inmediata a dermatología en acné:,Acné fulminante o riesgo de cicatrices permanentes.
Agente causal más común de la pitiriasis versicolor:,Malassezia globosa.
Variante clínica más frecuente de la pitiriasis versicolor:,Lesiones hipocrómicas.
¿En qué consiste el signo de la uñada en pitiriasis versicolor?,Desprendimiento de escama fina al realizar rascado de la lesión.
Hallazgo en la lámpara de Wood para pitiriasis versicolor:,Fluorescencia amarillo-anaranjada.
Imagen característica del KOH en pitiriasis versicolor:,Hifas cortas y esporas (imagen de espagueti y albóndigas).
Tratamiento oral para pitiriasis versicolor extensa:,Ketoconazol 200 mg por 10 días.
¿Qué tipo de hipersensibilidad media la urticaria?,Hipersensibilidad tipo I.
Lesión elemental de la urticaria:,Habón o roncha pruriginosa.
Prueba diagnóstica de elección para urticaria física por frío:,Prueba del cubo de hielo.
Tratamiento de primera línea para la urticaria:,Antihistamínicos de segunda generación (Loratadina o Cetirizina).
¿Cuándo se debe sospechar de vasculitis urticariana?,Cuando las lesiones duran más de 24 horas y son ardorosas.
¿Qué es el dermatografismo?,Aparición de habones tras el rascado o presión firme de la piel.